# v_kappa_fit_slope=-0.299453
# v_kappa_fit_intercept=0.695804
# v_kappa_ref_slope=-0.333333
# v_kappa_ref_intercept=0.770548
# v_radius_fit_slope=0.299453
# v_radius_fit_intercept=0.695804
# v_radius_ref_slope=0.333333
# v_radius_ref_intercept=0.770548
# omega_kappa_fit_slope=0.700547
# omega_kappa_fit_intercept=0.695804
# omega_kappa_ref_slope=0.666667
# omega_kappa_ref_intercept=0.770548
# omega_radius_fit_slope=-0.700547
# omega_radius_fit_intercept=0.695804
# omega_radius_ref_slope=-0.666667
# omega_radius_ref_intercept=0.770548
t,x,y,speed,curvature,radius,omega,log_speed,log_curvature,log_radius,log_omega,osc_cx,osc_cy,tx,ty,nx,ny
5.29,-0.3204658881118892,0.10956357109557142,1.251785182681671,3.632782092483499,0.27527112128987874,4.547462795281576,0.2245706786287512,1.289998771391607,-1.2899987713918823,1.5145694500204498,-0.3017144590985841,0.38419527743355153,0.9976771448133099,-0.06811985552804503,0.06811985552804503,0.9976771448133099
5.3,-0.30796366433566535,0.10894813053613085,1.2477335918313615,3.6021780424261935,0.2776098205646124,4.494558547291924,0.22132877907583653,1.281538674301274,-1.2815386743015516,1.5028674533772055,-0.30077431821347883,0.38646484314316487,0.9996646085598732,-0.02589730474075554,0.02589730474075554,0.9996646085598732
5.31,-0.29550037995338085,0.10885210955710986,1.2355160894164399,3.8150910950390653,0.2621169390424472,4.713606430509561,0.2114887689569913,1.3389645425742953,-1.3389645425745575,1.5504533115313741,-0.2997322969773537,0.3709348839075951,0.9998696585881991,0.016145148953111605,-0.016145148953111605,0.9998696585881991
5.32,-0.2831894382284391,0.1093744592074595,1.218565134324763,4.070432172175895,0.24567415883635596,4.960086726646757,0.19767404716803416,1.403749178627098,-1.4037491786273437,1.601423225795213,-0.29856752642129797,0.3545668463720015,0.9980389810877113,0.06259546492680558,-0.06259546492680558,0.9980389810877113
5.33,-0.27114511655011736,0.11046990209790242,1.1991778804112248,4.488500120299664,0.2227915725070794,5.382510060485856,0.1816362223486301,1.5015185970163578,-1.5015185970165805,1.683154819365058,-0.29593553082433044,0.3318779420157308,0.9937900138070617,0.1112717774521484,-0.1112717774521484,0.9937900138070617
5.34,-0.25942973193473273,0.11211699300699332,1.1707510610849483,5.27691782933711,0.18950456162881565,6.177957147953846,0.15764547541033533,1.6633421828293191,-1.6633421828295085,1.8209876582397098,-0.2917346059648295,0.2988477456751011,0.9853628380404899,0.17047016574401316,-0.17047016574401316,0.9853628380404899
5.35,-0.2481900163170171,0.114461976689977,1.1278916022069563,6.287561085067358,0.1590441804811711,7.091687346210097,0.12035005112396388,1.8385732506975283,-1.8385732506976873,1.958923301821544,-0.2859021658854117,0.2689703749077799,0.9714809919510252,0.23711744406064278,-0.23711744406064278,0.9714809919510252
5.36,-0.23759731468531545,0.11745994871794904,1.0752424887343823,7.787456561646098,0.12841163120253649,8.373404174254741,0.07254620705803681,2.0525143061392472,-2.0525143061393756,2.1250605131973432,-0.2779302385858439,0.23937304185280525,0.9493929170843717,0.31409089287979575,-0.31409089287979575,0.9493929170843717
5.37,-0.2278706317016324,0.12119995571095604,1.013794945957126,9.676992758956276,0.10333788863016086,9.810486351093447,0.01370066179721292,2.2697511876249155,-2.269751187625019,2.283451849422217,-0.26950539772537635,0.2157793693519241,0.9152443009508566,0.4028993293329955,-0.4028993293329955,0.9152443009508566
5.38,-0.2191016317016324,0.12569185314685347,0.9515309534458177,11.94546563903545,0.08371377309329085,11.366480308866297,-0.04968306156558381,2.4803517619380857,-2.480351761938169,2.430668700372646,-0.26125080964140046,0.1980205653191413,0.8640001459707526,0.5034915567936746,-0.5034915567936746,0.8640001459707526
5.39,-0.21145580885780949,0.13076847552447587,0.8859773881706855,15.18191590780831,0.06586783947904873,13.450834203429194,-0.12106384995477677,2.720104976638933,-2.7201049766389986,2.5990411266843942,-0.25162676327857014,0.1829687312570965,0.7924998928998744,0.6098720519532662,-0.6098720519532662,0.7924998928998744
5.4,-0.20506187645687712,0.1364599883449887,0.8286511586176539,18.948521421794403,0.05277456629675375,15.701714230266097,-0.18795601021449812,2.9417259032491847,-2.941725903249237,2.7537698930350514,-0.24319668690495133,0.17294136825159875,0.6912682086582351,0.7225982726926731,-0.7225982726926731,0.6912682086582351
5.41,-0.20008163170163232,0.14270652913752951,0.7798483516392669,22.7697728355777,0.04391787336751376,17.75696981303407,-0.2486557991760063,3.1254339035470817,-3.1254339035471257,2.876778104371596,-0.23673185296253146,0.16690448117162004,0.5509818709036081,0.8345172124860936,-0.8345172124860936,0.5509818709036081
5.42,-0.1965929790209796,0.14938685314685354,0.7377013135897122,26.201199990694473,0.03816619087504078,19.3286596507747,-0.3042162604377626,3.2658052108897544,-3.2658052108897926,2.961588950452697,-0.2319682375701504,0.16371337430456032,0.37537204602492613,0.9268742239716566,-0.9268742239716566,0.37537204602492613
5.43,-0.19448073426573484,0.15637513053613095,0.720155628961061,28.30710802787676,0.035326816113294496,20.38552318589956,-0.32828793899456316,3.3431129401748088,-3.3431129401748443,3.014825001181044,-0.22922108537866212,0.16278543015833746,0.181457043897343,0.9833988718826343,-0.9833988718826343,0.181457043897343
5.44,-0.19391308857808912,0.16345523543123586,0.7132580181627548,29.04907776379861,0.03442450077524253,20.71948763527912,-0.33791204722335255,3.3689867362810326,-3.368986736281067,3.031074689058518,-0.2283228601227046,0.1624483214003511,-0.029249923984711854,0.9995721294368348,-0.9995721294368348,-0.029249923984711854
5.45,-0.1948856666666672,0.17052009090909137,0.7231480178105413,27.68595483075503,0.03611939722191235,20.021043357067338,-0.32414135051497905,3.3209252387809727,-3.3209252387810086,2.996783888266776,-0.22997184743444626,0.16194275013247447,-0.2374718693100365,0.9713944159230055,-0.9713944159230055,-0.2374718693100365
5.46,-0.19735173892773944,0.17742792074592123,0.7530153219825584,24.46556645057458,0.040873772615081794,18.422946398275755,-0.28366970347085535,3.197266677981104,-3.197266677981145,2.9135969745108814,-0.23435273598079426,0.16006153065294138,-0.42487857082739394,0.9052503521411474,-0.9052503521411474,-0.42487857082739394
5.47,-0.20129805361305414,0.18408611188811236,0.7949250135735572,20.55371733364006,0.0486529995410252,16.33866403043755,-0.2295074913254412,3.0230418167311663,-3.023041816731215,2.7935343254061946,-0.24091773202743788,0.1558479206097989,-0.5803998015488704,0.814331670980585,-0.814331670980585,-0.5803998015488704
5.48,-0.2065742121212127,0.19038784149184199,0.8488345013680247,16.810369443331957,0.05948709237896036,14.269221564246488,-0.16389104527938153,2.8219959247716413,-2.821995924771701,2.6581048794925772,-0.24883673359880223,0.14852385412742458,-0.7037490939679878,0.7104485996461928,-0.7104485996461928,-0.7037490939679878
5.49,-0.21320765967366026,0.19621079254079304,0.921295156659829,12.961199902744337,0.07715335057737888,11.941090694899405,-0.08197481995278412,2.5619602717266914,-2.5619602717267687,2.4799854517740916,-0.2603098425329721,0.13510413271398225,-0.7920156334053039,0.6105008078959397,-0.6105008078959397,-0.7920156334053039
5.5,-0.2210910023310029,0.20161516550116604,0.998315721428963,10.082015729462654,0.09918651456549535,10.065034806416678,-0.0016856985628546462,2.3107532158122326,-2.310753215812332,2.309067517249479,-0.2724017020132554,0.11673185283164843,-0.8557948935038332,0.5173152812867243,-0.5173152812867243,-0.8557948935038332
5.51,-0.2302258881118887,0.2065506713286719,1.0728577005799689,7.958092191807555,0.12565825777053985,8.537900489905555,0.07032583656876834,2.0741892967337576,-2.0741892967338833,2.1445151333025843,-0.28497592982034836,0.09344704327533415,-0.900089099277102,0.4357058794215834,-0.4357058794215834,-0.900089099277102
5.52,-0.240445664335665,0.21094021911421973,1.143128575351581,6.381690632357515,0.1566982885270991,7.295092920900676,0.1337688678576806,1.853433051650939,-1.8534330516510955,1.9872019195086608,-0.29752451143330694,0.06500749885827156,-0.9312974738124575,0.36425954382903236,-0.36425954382903236,-0.9312974738124575
5.53,-0.25155230069930135,0.21484848484848545,1.217328838596354,5.301576396888134,0.18862314246509423,6.453761837952897,0.19665898177659713,1.6680042097086585,-1.668004209708847,1.86466319148529,-0.30718542719713315,0.03461628708832537,-0.9555147656050688,0.2949432703261604,-0.2949432703261604,-0.9555147656050688
5.54,-0.2635801002331009,0.218148270396271,1.2796452663174236,4.460344078330715,0.22419795030118528,5.70765818598209,0.24658290383282125,1.4952259106640327,-1.495225910664257,1.7418088144968957,-0.31670953244738853,0.0003364609096990212,-0.9715156146343928,0.23697554836218393,-0.23697554836218393,-0.9715156146343928
5.55,-0.2763445547785555,0.22092240559440623,1.3320923843242887,4.003308465576924,0.24979339179041712,5.332776719095225,0.2867509273138875,1.387121135641856,-1.3871211356421058,1.6738720629557906,-0.32260283897160197,-0.024550423300472746,-0.9827034539844006,0.1851861807131643,-0.1851861807131643,-0.9827034539844006
5.56,-0.2897196503496511,0.22305982983683045,1.3733738455175,3.6810935851593687,0.27165840173999123,5.055517652759393,0.3172703734214617,1.3032098779148797,-1.3032098779151513,1.620480251336395,-0.3257791652986141,-0.04619469402034662,-0.9911511005461772,0.1327384491626374,-0.1327384491626374,-0.9911511005461772
5.57,-0.30353337062937147,0.2245180116550123,1.4017393904053024,3.4423517667548835,0.29049907381848217,4.825280067090902,0.33771388717210044,1.2361548909273823,-1.236154890927673,1.5738687780995442,-0.3272436787654959,-0.0650118368536928,-0.9966635855425767,0.08161922110272044,-0.08161922110272044,-0.9966635855425767
5.58,-0.3176304079254088,0.2253750652680659,1.4221035787019727,3.4243643003159843,0.2920250044387604,4.869800726257924,0.3521371688844327,1.2309158487401524,-1.2309158487404446,1.5830530176246438,-0.32806392902108467,-0.0664634943072489,-0.9993615448656953,0.03572817716663851,-0.03572817716663851,-0.9993615448656953
5.59,-0.331923212121213,0.22552924708624775,1.4290468065402822,3.519842501359198,0.2841036210039406,5.030019686091381,0.35700765316307714,1.25841624467692,-1.2584162446772043,1.615423897840049,-0.3279702052445863,-0.05854687159354302,-0.99990319615063,-0.013913961612520597,0.013913961612520597,-0.99990319615063
5.6,-0.3462137202797212,0.22495409557109622,1.4253336072907379,3.7335544746553073,0.26784127747113023,5.321560667376142,0.3544058967005204,1.31736072216133,-1.317360722161598,1.6717666188618912,-0.3285220530448817,-0.04230225108470839,-0.9978161289371537,-0.0660528033687706,0.0660528033687706,-0.9978161289371537
